timestamp,lat,lon,type
2026-08-01T06:41:00,19.4330,-99.1338,start
2026-08-01T20:12:00,19.4326,-99.1345,end
2026-08-01T08:56:00,19.4176,-99.1650,end
2026-08-02T06:44:00,19.4322,-99.1341,start
2026-08-02T20:20:00,19.4333,-99.1340,end
2026-08-02T09:02:00,19.4180,-99.1658,end
2026-08-03T06:50:00,19.4329,-99.1335,start
2026-08-03T20:05:00,19.4327,-99.1344,end
2026-08-03T08:48:00,19.4169,-99.1656,end
2026-08-03T18:11:00,19.4411,-99.1529,end
2026-08-04T06:43:00,19.4331,-99.1342,start
2026-08-04T20:18:00,19.4324,-99.1339,end
2026-08-04T08:58:00,19.4173,-99.1652,end
2026-08-05T06:47:00,19.4328,-99.1346,start
2026-08-05T20:17:00,19.4332,-99.1337,end
2026-08-05T08:55:00,19.4170,-99.1661,end
2026-08-06T06:46:00,19.4330,-99.1340,start
2026-08-06T20:23:00,19.4325,-99.1342,end
2026-08-06T08:52:00,19.4178,-99.1657,end
2026-08-06T18:14:00,19.4417,-99.1534,end
